0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,5,5,5,5,0
0,1,2,2,2,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,5,2,2,2,5,0
0,1,2,3,2,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,0,5,2,8,2,5,0
0,1,2,3,2,2,2,2,2,8,2,2,2,3,2,2,2,2,2,2,2,2,1,0,5,2,9,2,5,0
0,1,2,2,2,2,2,2,2,9,2,2,2,3,2,2,1,1,1,2,2,2,1,0,5,2,2,2,5,0
0,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2,1,2,2,2,2,2,1,0,5,5,5,5,5,0
0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,0,0,5,6,5,0,0
0,0,0,0,0,0,0,1,3,5,5,5,2,5,5,5,5,2,5,5,5,3,1,0,0,0,5,0,0,0
0,0,0,5,0,0,0,1,3,6,6,6,7,6,6,6,6,7,6,6,6,3,1,0,0,0,0,0,0,0
0,0,5,6,5,0,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0
0,5,5,5,5,5,0,1,2,2,2,2,2,1,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,0
0,5,2,2,2,5,0,1,2,2,2,1,1,1,2,2,3,2,2,2,8,2,2,2,2,2,2,2,1,0
0,5,2,8,2,5,0,1,2,2,2,2,2,2,2,2,3,2,2,2,9,2,2,2,2,2,3,2,1,0
0,5,2,9,2,5,0,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,2,3,2,1,0
0,5,2,2,2,5,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,2,2,2,1,0
0,5,5,5,5,5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
